codigo,nome,unidade_medida
10505005,"ABOBORA - KG",kg
10501005,"ACELGA - KG",kg
10753005,"ACHOCOLATADO EM PO - KG",kg
10747005,"ACUCAR CRISTAL - KG",kg
10747040,"ADOCANTE EM PO SACHE - UN",un
10729010,"AGUA DE COCO - LT",lt
10729020,"AGUA MINERAL S/ GAS - LT",lt
10505040,"AIPIM / MANDIOCA / MACAXEIRA - KG",kg
10501035,"ALFACE CRESPA - KG",kg
10507025,"ALHO EM PASTA - KG",kg
10501050,"ALHO INTEIRO COM CASCA - KG",kg
10701065,"ARROZ INTEGRAL - KG",kg
10701115,"ARROZ PARBOILIZADO - KG",kg
10701140,"AVEIA EM FLOCOS - KG",kg
10107010,"BACON INTEIRO - KG",kg
10509054,"BANANA - KG",kg
10505050,"BATATA DOCE - KG",kg
10505065,"BATATA INGLESA - KG",kg
10505075,"BETERRABA - KG",kg
10711010,"BISCOITO AGUA E SAL (CREAM CRACKER) - KG",kg
10711015,"BISCOITO AGUA E SAL INTEGRAL - KG",kg
10711080,"BISCOITO DE MAIZENA - KG",kg
10711110,"BISCOITO MARIA - KG",kg
10105005,"BISTECA SUINA - KG",kg
10103050,"BUCHO BOVINO - KG",kg
10701150,"CAFE EM PO - KG",kg
10103055,"CARNE MOIDA - KG",kg
10101020,"CARNE SECA / CHARQUE - KG",kg
10505085,"CEBOLA - KG",kg
10501090,"CEBOLINHA VERDE - KG",kg
10505095,"CENOURA - KG",kg
10753060,"CHA DE CAMOMILA - KG",kg
10753070,"CHA DE ERVA CIDREIRA - KG",kg
10753075,"CHA DE ERVA DOCE - KG",kg
10501095,"CHEIRO VERDE - KG",kg
10505105,"CHUCHU - KG",kg
10707090,"COLORAU EM PO INDUSTRIALIZADO - KG",kg
10101028,"COPA LOMBO BOVINO / SOBREPALETA - KG",kg
10105025,"COSTELA SUINA - KG",kg
10501120,"COUVE - KG",kg
10109050,"COXA E S/COXA DE FRANGO SEM DORSAL - KG",kg
10101040,"COXAO MOLE / CHA DE DENTRO - KG",kg
10109057,"COXINHA DA ASA DE FRANGO",kg
10701190,"CREMOGEMA - KG",kg
10737026,"DOCE DE GOIABA TABLETE 15G",un
10709005,"EXTRATO DE TOMATE - KG",kg
10703075,"FARINHA DE MANDIOCA - KG",kg
10703085,"FARINHA DE ROSCA - KG",kg
10703102,"FARINHA DE TRIGO C/ FERMENTO - KG",kg
10703101,"FARINHA DE TRIGO S/ FERMENTO - KG",kg
10753135,"FARINHA LACTEA - KG",kg
10703121,"FECULA DE MANDIOCA - KG",kg
10701220,"FEIJAO CARIOCA - KG",kg
10701235,"FEIJAO FRADINHO - KG",kg
10701250,"FEIJAO PRETO - KG",kg
10715020,"FERMENTO QUIMICO EM PO - KG",kg
10123010,"FIGADO BOVINO - KG",kg
10703133,"FLOCAO DE ARROZ - KG",kg
10703134,"FLOCAO DE MILHO - KG",kg
10741085,"GELATINA PO DIET SABOR VARIADO - KG",kg
10741144,"GELATINA PO SABOR VARIADO - KG",kg
10301140,"IOGURTE NATURAL INTEGRAL - LT",lt
